LMT1_x,LMT1_y,LMT1_z,RMT1_x,RMT1_y,RMT1_z,LMT5_x,LMT5_y,LMT5_z,RMT5_x,RMT5_y,RMT5_z,LHeel_x,LHeel_y,LHeel_z,RHeel_x,RHeel_y,RHeel_z
-684.6332243,-687.9843629,39.27801522,433.5655048,-921.4487415,-28.1953437,-667.9046355,-683.901872,-69.89075727,429.2571213,-947.5335457,78.26556864,-610.5148623,-496.6158887,-38.61956351,228.6585666,-923.2565862,42.05725184
-685.6706154,-660.2246529,38.41880719,426.9639777,-925.1326375,-28.84951852,-665.9261853,-661.1282298,-70.31800301,421.6113682,-951.1551513,77.57809205,-594.6129606,-478.0037719,-43.35555619,221.594433,-924.223332,40.05982009
-684.0340515,-632.8667343,36.56970706,417.15692,-930.7459478,-28.9835147,-661.2969894,-638.8399355,-71.4172876,409.9862151,-955.0587939,77.74737085,-576.2372913,-461.2211593,-47.68061707,211.0510127,-924.4474368,37.39704776
-679.345553,-606.3998877,34.01194858,403.6582953,-937.7628287,-29.68525703,-654.1234548,-617.2701324,-73.03729945,394.9918468,-957.8949431,77.79379243,-555.9858804,-446.2393076,-51.48859328,197.1767298,-924.3076092,34.42075392
-671.1421916,-581.5878061,31.0943289,386.7453381,-944.5024116,-30.76935581,-644.755756,-596.5121815,-75.18482708,376.9338429,-959.8068757,77.40956172,-534.5962202,-432.8077343,-54.91652259,180.1677101,-923.9900768,31.12071666
-659.4187315,-559.1232222,27.6451623,366.7056843,-950.3341193,-32.48441126,-632.5608689,-577.0075794,-78.05827963,356.220368,-959.808394,76.2865053,-512.5221779,-420.3676297,-58.06932703,160.2265629,-923.4550317,27.26819887
-644.5443257,-539.6173411,23.84883114,344.6387523,-953.1382665,-34.52070904,-617.600231,-559.088823,-81.55190115,333.4195064,-958.5978964,74.46379466,-489.7721755,-408.8702321,-60.59667944,137.92432,-923.1010993,22.87379272
-627.499211,-523.0225398,19.38639999,319.9347901,-956.3058378,-37.10494231,-600.1657602,-543.6120511,-85.70189389,308.4103925,-954.7795492,71.96709634,-466.5264328,-398.7641637,-63.24194413,113.2850064,-921.3169598,17.68454939
-608.3026166,-509.8981958,14.80234128,294.6977628,-955.8994628,-39.63486405,-580.4187051,-530.6314061,-90.11281874,282.2699011,-950.4837979,69.21706784,-442.661161,-390.1164053,-65.16520541,87.53210691,-919.5023049,12.1427615
-587.3386232,-500.3327374,10.58266859,268.9067179,-954.0898419,-41.71401039,-558.7215388,-520.6306778,-94.22042562,255.273256,-946.0615381,66.83459534,-418.4777032,-383.1474539,-66.41995518,61.07142507,-917.1466148,6.925382835
-564.5210248,-494.5412027,7.134924246,242.9124777,-951.5566851,-42.92004854,-535.3593007,-513.7630322,-97.72407255,227.8673087,-941.9832384,65.31407816,-394.1250078,-377.8949213,-67.22084644,34.35497688,-914.6158584,2.500921305
-540.6150024,-492.4288445,3.985774775,216.06631,-949.1972604,-43.67840606,-510.713466,-510.247301,-100.8865861,200.214561,-938.617306,64.32856833,-370.1909014,-374.253122,-67.9808307,7.220774433,-911.5716643,-0.194802557
-515.2633508,-493.8531948,1.741337327,189.5883386,-947.3837389,-42.813486,-484.9864671,-509.927489,-103.3382148,172.6779453,-935.937595,64.96877439,-346.5233697,-372.0335155,-68.33499998,-19.52350173,-908.5715797,-1.740030476
-489.5233267,-498.2985547,-0.527908793,162.7509973,-946.9749639,-41.74801671,-458.7816934,-512.3834852,-105.741693,145.8121148,-935.1233937,65.97608404,-323.6008771,-371.9864615,-69.01274411,-46.02740707,-906.0072739,-1.01846213
-463.4537407,-505.937313,-2.071915743,135.2042677,-944.8956986,-40.59410413,-433.1218898,-517.7585264,-107.6865032,118.5419224,-934.2156785,67.29259043,-302.7245559,-373.0047441,-70.4364695,-73.54215058,-904.8426891,1.117333574
-437.2618555,-515.9980649,-3.919433984,108.1540117,-944.5750135,-38.95901773,-407.0575066,-525.5390805,-109.8019428,91.39433581,-934.411173,68.96149045,-282.6696385,-375.7470475,-71.86736383,-100.4451786,-903.6113907,2.67032937
-411.0657786,-528.1229313,-5.797112341,80.72576516,-944.6058314,-38.09700868,-381.1952764,-535.4512588,-111.9491989,64.05735976,-935.8025763,69.97022491,-264.0089568,-380.0134142,-73.78915083,-127.5093502,-902.4449261,4.226530659
-384.8459365,-542.2679367,-7.874292794,53.23186646,-944.7547511,-37.75767806,-355.0561348,-547.3803238,-114.1794229,36.23304012,-937.6732467,70.3831795,-246.7305792,-385.719426,-75.70808261,-154.7814862,-901.4589777,4.427674058
-358.4393748,-558.1158299,-10.07772895,25.35719774,-945.4820217,-38.02784211,-328.5642526,-560.9882243,-116.4432122,7.859667135,-939.6116093,70.10187111,-230.8019596,-392.8203406,-77.6481661,-182.3400104,-900.184358,3.69240945
-332.3569772,-575.3904815,-12.25899147,-3.061261231,-948.2082874,-38.73527591,-302.5015707,-575.8905274,-118.6721779,-21.0687018,-941.8877523,69.30154327,-215.6799524,-401.9201037,-79.2423242,-210.0254448,-898.5837072,1.782738088
-305.4279358,-593.7952885,-14.30712613,-31.45214292,-948.1503442,-40.1757977,-274.6412645,-592.1061436,-120.4380161,-50.08794089,-944.1290367,67.84586054,-202.3633694,-411.7285692,-80.70388649,-238.0077979,-896.7726432,0.133001565
-278.5824334,-613.2054401,-16.22155014,-60.32301318,-949.0886756,-41.70701632,-246.5544242,-609.0488896,-121.9164193,-79.49035574,-946.5868825,66.27093157,-189.9470598,-423.2849663,-81.4710819,-266.0950171,-894.5159393,-1.618216754
-251.2561267,-633.448744,-17.65726846,-89.79062096,-951.3211614,-43.10620753,-218.3667312,-626.5850194,-122.953463,-109.2201816,-949.0005059,64.8301165,-178.3790414,-436.6576688,-82.02173658,-294.1184083,-891.4155849,-3.293711602
-223.9936404,-654.3027981,-19.08097412,-119.585405,-953.2904196,-44.77270764,-189.5166018,-644.3612482,-123.619814,-139.0257297,-951.8802226,63.17512266,-167.1565589,-451.7595385,-81.75471589,-322.0189206,-887.6898707,-4.171537834
-195.9624138,-675.5276549,-19.89452791,-149.9255273,-955.9359629,-46.29243233,-160.6003953,-662.3335304,-123.7300551,-169.1154212,-954.8146602,61.70495273,-156.3638347,-468.5868775,-81.43121972,-349.5669982,-882.8734602,-4.680482539
-167.0998054,-696.928437,-20.20953011,-180.5903215,-959.0792318,-47.72746289,-131.3793007,-680.2713896,-123.4703807,-199.3197844,-958.0358689,60.35160504,-145.5533459,-487.0695099,-80.82441052,-376.3219056,-876.8704305,-4.606616086
-138.0903659,-718.4588349,-20.55726675,-211.183608,-962.0098121,-49.29019338,-101.7661677,-697.9034468,-122.9105716,-229.264762,-961.3397902,58.90171623,-134.0613999,-507.0536874,-79.5700583,-402.1234921,-870.1997578,-4.042734716
-108.257796,-739.4108909,-20.08779553,-242.0955805,-965.3920608,-50.68107397,-72.63433605,-715.3549013,-121.8966459,-259.526827,-964.888041,57.61850569,-122.3946693,-528.305308,-78.49881089,-426.5018888,-862.1192951,-3.193922207
-77.79229561,-759.9435439,-19.17600491,-272.7265464,-968.8123985,-51.94682518,-43.29100025,-732.4241518,-120.5054877,-289.4018413,-968.2177167,56.47115683,-109.7313882,-550.6345945,-77.09832177,-449.0316365,-853.2048918,-2.134171917
-46.91919549,-779.8181455,-17.943913,-302.8633968,-971.797819,-52.93015097,-14.053559,-749.0454979,-118.8788701,-318.7728153,-970.8885742,55.60106761,-96.12376244,-573.7631927,-75.43424893,-469.612745,-843.6331375,-0.96156433
-15.56981095,-798.6876741,-16.19284229,-332.3651067,-974.2673547,-53.6224953,14.95533684,-765.1591473,-116.9826267,-347.6428377,-973.0525437,55.00025767,-81.69150415,-597.4304402,-73.70004049,-487.8251581,-833.3690146,0.374012327
16.14879167,-816.4490094,-13.98208578,-361.1037496,-975.9414386,-53.85123042,43.7134966,-780.6861419,-114.8561595,-376.2163594,-974.6065814,54.78667091,-66.41782899,-621.4389539,-71.74836756,-503.542435,-822.483187,1.857393266
48.18401379,-833.0969518,-11.40009376,-388.6871456,-976.0048699,-53.70122999,72.38599971,-795.5767086,-112.4995552,-403.8137643,-974.5750093,54.93151825,-50.12392225,-645.6198269,-69.47033858,-517.1483702,-811.3819942,3.572838615
80.56798449,-848.6229751,-8.469058167,-415.0878062,-974.8074454,-53.10283801,101.0423665,-809.8646468,-109.9238827,-430.7533784,-973.352094,55.45846339,-32.78987831,-669.939571,-66.82941827,-528.7743378,-800.0320952,5.637705696
113.3695384,-862.9862639,-5.390820716,-440.2828091,-971.6466628,-52.11715564,129.7211202,-823.4802927,-107.304656,-457.1572644,-970.312925,56.2642943,-14.35567946,-694.2762604,-63.76439401,-538.9625624,-788.3876018,7.864371613
146.3668534,-876.1242242,-2.146503024,-464.3619361,-966.4788631,-51.0107388,158.3159152,-836.3845904,-104.5803967,-482.6996755,-965.1567242,57.13255043,5.057111544,-718.5129439,-60.24549466,-548.5673102,-776.5146381,10.158302
179.7024312,-887.9078781,1.145406425,-487.3488102,-959.0366929,-50.01481511,186.9411478,-848.5347591,-101.8691411,-507.096778,-957.5402864,57.88051128,25.52199152,-742.6199818,-56.33304718,-558.3729625,-764.0882045,12.22921122
212.9136245,-898.2116125,4.262394156,-509.5660822,-949.1822816,-49.42327514,215.1834899,-859.7208958,-99.31576921,-530.495893,-947.2656806,58.21913571,46.7684421,-766.2259644,-51.97106545,-569.0725098,-750.6560311,13.63404154
246.1688882,-906.8454346,6.977662812,-530.6402139,-936.9685341,-49.60828409,243.1339652,-869.9350929,-97.15696543,-552.076644,-934.5594274,57.96750618,68.973703,-789.1654543,-47.24707445,-580.6533415,-736.0519077,14.09275512
